Region,"Case Number","Case Name",Status,"Date Filed","Date Closed","Reason Closed",City,"States & Territories","Unit ID","Ballot Type","Tally Type","Tally Date","No of Eligible Voters","Void Ballots","Labor Union1","Votes for Labor Union1","Labor Union2","Votes for Labor Union2","Labor Union3","Votes for Labor Union3","Votes Against","Total Ballots Counted","Runoff Required","Challenged Ballots","Challenges are Determinative","Union to Certify","Voting Unit (Unit A)","Voting Unit (Unit B)","Voting Unit (Unit C)","Voting Unit (Unit D)"
"Region 18, Minneapolis, Minnesota",30-RD-001498,"Clear Channel Outdoor, Inc.",Closed,05/16/2008,04/09/2009,"Certification of Results",Pewaukee,WI,A,"Single Labor Organization",Initial,04/01/2009,10,,"INTERNATIONAL UNION OF PAINTERS AND ALLIED TRADES, DISTRICT COUNCIL NO. 7, AFL-CIO",3,,,,,5,8,N,1,N,,"All construction foremen, construction workers, laborers, and trainees employed by the Employer in the following counties in the State of Wisconsin:  Milwaukee, Ozaukee, Waukesha, Washington, Racine, and Kenosha;  and excluding all other employees, o",,,
"Region 04, Philadelphia, Pennsylvania",04-RC-021535,"Americold Bethlehem",Closed,02/20/2009,04/10/2009,"Certification of Results",Bethlehem,PA,A,"Single Labor Organization",Initial,04/01/2009,197,,"INTERNATIONAL BROTHERHOOD OF TEAMSTERS LOCAL 773",70,,,,,118,188,N,2,N,,"INCLUDED:  All full-time and regular part-time forklift operators, cleaning and maintenance employees, and MOD line leaders employed by the Employer at its Bethlehem, Pennsylvania facilities located at 2600 Brodhead Road and 400 Miller Circle.
EXCLUDED:  All other employees, guards and supervisors as defined in the Act.",,,
"Region 06, Pittsburgh, Pennsylvania",06-RC-012661,"Caption Colorado, L.L.C.",Closed,02/05/2009,04/10/2009,"Certification of Results",Pittsburgh,PA,A,"Single Labor Organization",Initial,03/31/2009,151,2,"UNITED STEEL, PAPER AND FORESTRY, RUBBER, MANUFACTURING, ENERGY, ALLIED INDUSTRIAL AND SERVICE WORKE",56,,,,,70,126,N,3,N,,"All full-time and regular part-time captioners employed by the Employer at its Englewood/Greenwood Village, Colorado, facility and working at various locations throughout the United States; excluding all office clerical employees and guards, professional employees and supervisors as defined in the Act, and all other employees.",,,
"Region 06, Pittsburgh, Pennsylvania",06-RC-012663,"First Student, Inc.",Closed,02/24/2009,04/10/2009,"Certific. of Representative",Manor,PA,A,"Single Labor Organization",Initial,03/31/2009,80,,"TEAMSTERS' LOCAL 30, A/W INTERNATIONAL BROTHERHOOD OF TEAMSTERS",36,,,,,35,71,N,,N,"TEAMSTERS' LOCAL 30, A/W INTERNATIONAL BROTHERHOOD OF TEAMSTERS","All Full-time and regular part-time bus drivers and monitors employed by the Employer at the Penn Trafford Bus Garage in Manor, Pennsylvania; excluding all office clerical employees, dispatchers and guards, professional employees and supervisors as defined in the Act, and all other employees.",,,
"Region 08, Cleveland, Ohio",08-RC-016980,"The Orwell Telephone Company, a subsidiary of FairPoint Communications, Inc.",Closed,02/19/2009,04/13/2009,"Certific. of Representative",Orwell,OH,A,"Single Labor Organization",Initial,03/31/2009,3,,"INTERNATIONAL BROTHERHOOD OF ELECTRICAL  WORKERS LOCAL UNION NO. 986, AFL-CIO, CLC",3,,,,,,3,N,,N,"INTERNATIONAL BROTHERHOOD OF ELECTRICAL  WORKERS LOCAL UNION NO. 986, AFL-CIO, CLC","All full-time and regular part-time CableTV/IR Technicians and Central Office Technicians employed by the Employer at its 70 South Maple Street, Orwell, Ohio facility, excluding all office clerical employees and all professional employees, guards and supervisors as defined in the Act.",,,
"Region 18, Minneapolis, Minnesota",18-RC-017618,"Aurora Brule Rural Water System Incorporated",Closed,02/05/2009,04/07/2009,"Certification of Results",Kimball,SD,A,"Single Labor Organization",Rerun,03/31/2009,5,,"COMMUNICATIONS WORKERS OF AMERICA - DISTRICT 7",2,,,,,3,5,N,,N,,"All full-time, part-time, and seasonal workers including but not necessarily limited to distribution operators, plant operators, office clerical workers, and group leaders employed by the Employer in Kimball, South Dakota; excluding board of director members, general managers, professional employees, and guards and supervisors as defined in the National Labor Relations Act, as amended.",,,
"Region 29, Brooklyn, New York",29-RC-011723,"Block Institute",Closed,02/18/2009,04/16/2009,"Certific. of Representative",Brooklyn,NY,A,"Single Labor Organization",Initial,03/31/2009,8,,"LOCAL #2, UNITED FEDERATION OF TEACHERS",7,,,,,,7,N,,N,"LOCAL #2, UNITED FEDERATION OF TEACHERS","Included:   All employees who regularly work on average at least fifteen hours per week as maintenance workers or housekeepers in the Employer's Brooklyn facilities at 376 Bay 44th Street or 2214 Stillwell Avenue.

Excluded:  All employees in the Employer's Residential Division (including maintenance workers and housekeepers who are regularly assigned to work in the Residential Division), confidential employees, guards, supervisors as defined in Section 2(11) of the Act, and all other employees.
",,,
"Region 06, Pittsburgh, Pennsylvania",06-RC-012665,"Loomis Armored US, Inc.",Closed,03/02/2009,06/03/2009,"Certification of Results",Pittsburgh,PA,A,"Single Labor Organization",Initial,03/30/2009,30,,"INTERNATIONAL UNION, SECURITY, POLICE & FIRE PROFESSIONALS OF AMERICA (SPFPA)",10,,,,,16,26,N,,N,,"All full-time and regular part-time security officers, drivers, ATM technicians and vault custodians performing guard duties as defined by Section 9(b)(3) of the National Labor Relations Act, as amended, employed by the Employer and working out of its Pittsburgh, Pennsylvania, facility; excluding office clerical employees and professional employees and other supervisors as defined in the Act, and all other employees.",,,
"Region 07, Detroit, Michigan",07-RC-023252,Guardsmark,Closed,02/12/2009,04/15/2009,"Certific. of Representative",Roseville,MI,A,"Single Labor Organization",Initial,03/30/2009,15,,"SECURITY POLICE & FIRE PROF. OF AMERICA",8,,,,,3,11,N,,N,"SECURITY POLICE & FIRE PROF. OF AMERICA","All full-time and regular part-time protective service officers armed and unarmed performing guard duties as defined in Section 9(b)(3) of the Act employed by the Employer at or out of the Ford Motor Company, Van Dyke Transmission Plant facility located at 41111 18 ½ Mile Road, Sterling Heights, Michigan, but excluding all office clerical employees, professional empoyees and supervisors as defined in the Act.

",,,
"Region 25, Indianapolis, Indiana",33-RC-005118,"First Student, Inc.",Closed,03/05/2009,04/07/2009,"Certific. of Representative",Peru,IL,A,"Single Labor Organization",Initial,03/30/2009,2,,"AUTOMOBILE MECHANICS LOCAL 701, INTERNATIONAL ASSOCIATION OF MACHINISTS AND AEROSPACE WORKERS, AFL-C",2,,,,,,2,N,,N,"AUTOMOBILE MECHANICS LOCAL 701, INTERNATIONAL ASSOCIATION OF MACHINISTS AND AEROSPACE WORKERS, AFL-C","All full-time and regular part-time mechanics employed by the Employer at its Peru, Illinois and Grand Ridge, Illinois, facilities; EXCLUDING office clerical employees, professional employees, guards, supervisors as defined in the Act, tech-in-charge, shop manager, drivers, dispatchers, and monitors.",,,
"Region 29, Brooklyn, New York",29-RC-011722,"Macy's Inc.",Closed,02/17/2009,04/08/2009,"Certification of Results",Elmhurst,NY,A,"Single Labor Organization",Initial,03/28/2009,21,,"RETAIL WHOLESALE DEPARTMENT STORE UNION",9,,,,,12,21,N,,N,,"Included:  All full-time and regular part-time sales associates and stock associates employed by the Employer at its bedding, stock and furniture departments at its retail furniture store located at 88-01 Queens Boulevard, Elmhurst, New York.

Excluded:  All other employees, rug department employees, assistant managers, managers, office clerical employees, professional employees, guards and supervisors as defined in Section 2(11) of the Act.",,,
"Region 03, Buffalo, New York",03-RD-001551,"Next Generation Vending and Food Service",Closed,01/05/2009,04/06/2009,"Certification of Results",Canton,MA,A,"Single Labor Organization",Initial,03/27/2009,34,,"LOCAL 669, INTERNATIONAL BROTHERHOOD OF TEAMSTERS",15,,,,,18,33,N,,N,,"Included: All full-time and regular part-time service technicians, warehouse employees, assistant account managers, route drivers and shuttle drivers employed at the Employer's 116 Railroad Avenue, Albany New York and 14 Industrial Parkway, Johnstown New York locations. 

excluded: Office clerical employees, guards, professional employees and supervisors as defined in the Act. 
",,,
"Region 05, Baltimore, Maryland",05-RC-016290,"SMG Corporation",Closed,02/26/2009,07/23/2009,"Certification of Results",Baltimore,MD,A,"Single Labor Organization",Initial,03/27/2009,14,,"TREASURERS & TICKET SELLERS UNION LOCAL 868, INTERNATIONAL ALLIANCE OF THEATRICAL STAGE EMPLOYEES, A",6,,,,,7,13,N,,N,,"All full-time and part-time ticket sellers employed by the Employer at the 1st Mariner Arena, Baltimore, Maryland, including lead ticket sellers, senior ticket sellers and the events manager; but excluding the Box Office Manager, Assistant Box Office Manager, professional employees, office clerical employees, guards and supervisors as defined in the Act.",,,
"Region 13, Chicago, Illinois",13-RD-002610,"Lechner & Sons Uniform Service Provider",Closed,02/17/2009,04/08/2009,"Certification of Results","Mount Prospect",IL,A,"Single Labor Organization",Initial,03/27/2009,16,,"TEAMSTERS LOCAL UNION NO. 731",1,,,,,15,16,N,,N,,"All full-time and regular part-time route salesmen employed by the Employer at its facility currently located at 420 Kingston Court, Mount Prospect, Illinois; but excluding office clerical employees and guards, professional employees and supervisors as defined in the National Labor Relations Act.",,,
"Region 15, New Orleans, Louisiana",15-RC-008786,"First Student, Inc.",Closed,02/27/2009,04/08/2009,"Certific. of Representative","New Orleans",LA,A,"Single Labor Organization",Initial,03/27/2009,22,,"AMALGAMATED TRANSIT UNION, LOCAL 1516",14,,,,,4,18,N,,N,"AMALGAMATED TRANSIT UNION, LOCAL 1516","All mechanics, oilers and parts employees employed by First Student, Inc., at its operations located at 6600 Almonaster Road, New Orleans and 153 Maxwell Lane, Marrerro, Louisiana; excluding drivers, yard attendants, shop managers, office clerical employees, professional employees and supervisors as defined in the Act.",,,
"Region 18, Minneapolis, Minnesota",18-RC-017622,"Collins Enterprise Solutions, LLC, d/b/a Collins Communications",Closed,02/13/2009,04/03/2009,"Certific. of Representative",Roseville,MN,A,"Single Labor Organization",Initial,03/27/2009,20,,"IBEW LOCAL 292",12,,,,,,12,N,,N,"IBEW LOCAL 292","All full-time and regular part-time system engineers and senior system engineers employed by the Employer at its Roseville, Minnesota facility; excluding office clerical employees, managerial employees and guards and supervisors as defined in the National Labor Relations Act, and all other employees.",,,
"Region 19, Seattle, Washington",19-RC-015188,"ElderHealth Northwest",Closed,02/23/2009,04/07/2009,"Certific. of Representative",Seattle,WA,A,"Single Labor Organization",Initial,03/27/2009,13,,"SEIU HEALTHCARE 775 NW",5,,,,,5,10,N,,N,,"Included:  All full-time, regular part-time, and on-call Registered Nurses (RN's) employed by the Employer at the following Western Washington State locations: South King County (Connection) location in Kent; Buchanan House, Jefferson Terrace, North Branch (Ravenna); South Branch and Gaffney House locations in Seattle; North Snohomish County (Marysville) location in Marysville; and South Snohomish County (Everett) location in Everett.

Excluded:  All employees employed at other locations, all Activity Coordinators, Administrative Assistants, Case Managers, Certified Occupational Therapy Assistants, Licensed Practical Nurses (LPN's, Occupational Therapists, Program Assistants, Program Coordinators, Resident Assistants, Social Workers, Time Program Coordinators, Weekend Lead Coordinators, Home Care Aids, and guards and supervisors as defined in the Act.","All full-time, regular part-time, and on-call Activity Coordinators, Administrative Assistants, Case Managers, Certified Occupational Therapy Assistants (COTA's), Development Coordinators, Housekeepers, Intake Specialists, Kitchen Workers,  Lead Resident Assistants, Licensed Practical Nurses (LPN's), Occupational Therapists, Program Assistants, Program Coordinators, Resident Assistants, Social Workers, Time Program Coordinators, and Weekend Lead Coordinators employed by the Employer at the following Western Washington State locations; South King County (Connection) location in Kent; Buchanan House, Jefferson Terrace, North Branch (Ravenna), South Branch and Gaffney House locations in Seattle; North Snohomish County (Marysville) location n Marysvile; and South Snohomish County (Everett) location in Everett; and Home Care Aids employed by the Employer at or out of its Western Washington locations .

Excluded:  All employees employed at other locations, all Registered Nurses (RN's), professional employees, and guards and supervisors as defined in the Act.",,
"Region 19, Seattle, Washington",19-RC-015134,"South Peninsula Hospital, Inc.",Closed,09/16/2008,04/06/2009,"Certific. of Representative",Homer,AK,A,"Two Labor Organizations",Rerun,03/27/2009,67,3,"ALASKA NURSES ASSOCIATION",24,"TEAMSTERS LOCAL 959",,,,,50,N,,N,"TEAMSTERS LOCAL 959","Included:  All full-time and regular part-time registered nurses, PRN registered nurses, medical laboratory technicians, x-ray technicians, social workers/counselors, pharmacists, physical therapists, licensed practical nurses, nurses aides, ward clerks, orderlies, dietary employees, housekeeping employees, laundry employees, plant maintenance and office clerical employees, employed by the Employer at its Homer, Alaska facilities.  

Excluded:  Guards and supervisors as defined in the Act.

",,,
"Region 19, Seattle, Washington",19-RC-015188,"ElderHealth Northwest",Closed,02/23/2009,04/07/2009,"Certific. of Representative",Seattle,WA,B,"Single Labor Organization",Initial,03/27/2009,272,1,"SEIU HEALTHCARE 775 NW",119,,,,,38,157,N,,N,"SEIU HEALTHCARE 775 NW","Included:  All full-time, regular part-time, and on-call Registered Nurses (RN's) employed by the Employer at the following Western Washington State locations: South King County (Connection) location in Kent; Buchanan House, Jefferson Terrace, North Branch (Ravenna); South Branch and Gaffney House locations in Seattle; North Snohomish County (Marysville) location in Marysville; and South Snohomish County (Everett) location in Everett.

Excluded:  All employees employed at other locations, all Activity Coordinators, Administrative Assistants, Case Managers, Certified Occupational Therapy Assistants, Licensed Practical Nurses (LPN's, Occupational Therapists, Program Assistants, Program Coordinators, Resident Assistants, Social Workers, Time Program Coordinators, Weekend Lead Coordinators, Home Care Aids, and guards and supervisors as defined in the Act.","All full-time, regular part-time, and on-call Activity Coordinators, Administrative Assistants, Case Managers, Certified Occupational Therapy Assistants (COTA's), Development Coordinators, Housekeepers, Intake Specialists, Kitchen Workers,  Lead Resident Assistants, Licensed Practical Nurses (LPN's), Occupational Therapists, Program Assistants, Program Coordinators, Resident Assistants, Social Workers, Time Program Coordinators, and Weekend Lead Coordinators employed by the Employer at the following Western Washington State locations; South King County (Connection) location in Kent; Buchanan House, Jefferson Terrace, North Branch (Ravenna), South Branch and Gaffney House locations in Seattle; North Snohomish County (Marysville) location n Marysvile; and South Snohomish County (Everett) location in Everett; and Home Care Aids employed by the Employer at or out of its Western Washington locations .

Excluded:  All employees employed at other locations, all Registered Nurses (RN's), professional employees, and guards and supervisors as defined in the Act.","All full-time, regular part-time, and on-call Activity Coordinators, Administrative Assistants, Case Managers, Certified Occupational Therapy Assistants (COTA's), Development Coordinators, Housekeepers, Intake Specialists, Kitchen Workers,  Lead Resident Assistants, Licensed Practical Nurses (LPN's), Occupational Therapists, Program Assistants, Program Coordinators, Resident Assistants, Social Workers, Time Program Coordinators, and Weekend Lead Coordinators employed by the Employer at the following Western Washington State locations; South King County (Connection) location in Kent; Buchanan House, Jefferson Terrace, North Branch (Ravenna), South Branch and Gaffney House locations in Seattle; North Snohomish County (Marysville) location n Marysvile; and South Snohomish County (Everett) location in Everett; and Home Care Aids employed by the Employer at or out of its Western Washington locations .

Excluded:  All employees employed at other locations, all Registered Nurses (RN's), professional employees, and guards and supervisors as defined in the Act.","All full-time, regular part-time, and on-call Activity Coordinators, Administrative Assistants, Case Managers, Certified Occupational Therapy Assistants (COTA's), Development Coordinators, Housekeepers, Intake Specialists, Kitchen Workers,  Lead Resident Assistants, Licensed Practical Nurses (LPN's), Occupational Therapists, Program Assistants, Program Coordinators, Resident Assistants, Social Workers, Time Program Coordinators, and Weekend Lead Coordinators employed by the Employer at the following Western Washington State locations; South King County (Connection) location in Kent; Buchanan House, Jefferson Terrace, North Branch (Ravenna), South Branch and Gaffney House locations in Seattle; North Snohomish County (Marysville) location n Marysvile; and South Snohomish County (Everett) location in Everett; and Home Care Aids employed by the Employer at or out of its Western Washington locations .

Excluded:  All employees employed at other locations, all Registered Nurses (RN's), professional employees, and guards and supervisors as defined in the Act."
"Region 01, Boston, Massachusetts",34-RC-002311,"Premium Electric Corp.",Closed,02/20/2009,04/07/2009,"Certification of Results",Danbury,CT,A,"Single Labor Organization",Initial,03/27/2009,21,,"LOCAL NO. 3, INTERNATIONAL BROTHERHOOD OF ELECTRICAL WORKERS, AFL-CIO",5,,,,,15,20,N,1,N,,"All full-time and regular part-time journeyman and apprentice electricians, helpers and expeditors employed by the Employer at its Danbury, Connecticut facility; but excluding all other employees, and professional employees, guards and supervisors as defined in the Act.",,,
"Region 29, Brooklyn, New York",29-RC-011733,"Karl's Plumbing & Heating",Closed,03/12/2009,05/18/2009,"Certific. of Representative","Forest Hills",NY,A,"Single Labor Organization",Initial,03/27/2009,5,,"LOCAL 355 UNITED SERVICE WORKERS OF AMERICA",5,,,,,,5,N,,N,"LOCAL 355 UNITED SERVICE WORKERS OF AMERICA","Included:  All full-time and regular part-time plumbers, plumbers' helpers and apprentices employed by the Employer at the Employer's facility located at 97-22 Metropolitan Avenue, Forest Hills, New York.

Excluded:  All office clerical employees, professional employees, guards and supervisors as defined in Section 2(11) of the Act.
",,,
"Region 01, Boston, Massachusetts",01-RC-022301,"First Transit, Inc.",Closed,02/04/2009,04/06/2009,"Certific. of Representative",Framingham,MA,A,"Single Labor Organization",Initial,03/26/2009,33,,"AMALGAMATED TRANSIT UNION, LOCAL NO. 22, AFL-CIO",19,,,,,7,26,N,,N,"AMALGAMATED TRANSIT UNION, LOCAL NO. 22, AFL-CIO","All full time and regular part-time drivers, mechanic, bus cleaner, weekend dispatcher/supervisor, call takers, and customer service assistant employed by the Employer at its Framingham, Massachusetts facility, but excluding guards and supervisors as defined in the Act.",,,
"Region 03, Buffalo, New York",03-RM-000789,"YRC, Inc.",Closed,03/03/2009,04/06/2009,"Certific. of Representative",Tonawanda,NY,A,"Two Labor Organizations",Initial,03/26/2009,27,18,"AUTOMOBILE MECHANICS LOCAL UNION #447 OF DISTRICT 15 INT'L ASSOCIATION OF MACHINISTS AND AEROSPACE W",18,"TEAMSTERS LOCAL UNION NO. 375",,,,,,N,,N,,"Included: All full-time and part-time mechanics employed by the Employer at its 66 Milens Road, Tonawanda, New York terminal.
Excluded: All drivers, dock/hostler employees, office clerks, janitors, guards and supervisors as defined by the Act.
",,,
"Region 04, Philadelphia, Pennsylvania",04-RC-021534,"DB Interiors",Closed,02/20/2009,04/06/2009,"Certific. of Representative","Egg Harbor Township",NJ,A,"Single Labor Organization",Initial,03/26/2009,9,,"INTERNATIONAL UNION OF PAINTERS AND ALLIED TRADES DISTRICT COUNCIL 711, AFL-CIO",8,,,,,,,N,,N,"INTERNATIONAL UNION OF PAINTERS AND ALLIED TRADES DISTRICT COUNCIL 711, AFL-CIO","INCLUDED:  All full-time and regular part-time Forepersons, journeypersons and apprentice drywall tapers and finishers employed by the Employer at its 118 Marshall Drive, Egg Harbor Township, New Jersey facility.
EXCLUDED:  All other employees, secretarial employees, clerical employees, guards and supervisors as defined in the Act.",,,
"Region 04, Philadelphia, Pennsylvania",04-RD-002152,"Thomas Jefferson University",Closed,02/12/2009,04/06/2009,"Certific. of Representative",Philadelphia,PA,A,"Single Labor Organization",Initial,03/26/2009,64,,"INTERNATIONAL UNION, SECURITY, POLICE AND FIRE PROFESSIONALS OF AMERICA",64,,,,,22,86,N,,N,"INTERNATIONAL UNION, SECURITY, POLICE AND FIRE PROFESSIONALS OF AMERICA","INCLUDED:  All full-time and regular part-time security officers who have worked an average of at least twenty hours per week during the prior thirteen-week period employed by the Employer at its campus and hospital located at 833 Chestnut Street, Philadelphia, PA.
EXCLUDED:  All other employees, part-time employees who have worked less than an average of twenty hours per week during the prior thirteen-week period, maintenance employees, executives, administrators, department heads, confidential employees, clerical employees, Registered Nurses (RNs), physicians, secretaries, students, technical employees, professional employees, temporary employees, and supervisors as defined in the Act.",,,
"Region 09, Cincinnati, Ohio",09-RC-018242,"MPW Industrial Services, Inc.",Closed,02/10/2009,07/01/2009,"Certification of Results",Middletown,OH,A,"Single Labor Organization",Initial,03/26/2009,40,,"INTERNATIONAL UNION OF OPERATING ENGINEERS, LOCAL 18",17,,,,,14,31,N,8,Y,,"All heavy duty operators, mobile equipment operators and truck drivers employed by the Employer and working in the ground transportation department located at the AK Steel facility in Middletown, Ohio, but excluding all office clerical employees, and all professional employees, guards and supervisors as defined in the Act.",,,
"Region 14, Saint Louis, Missouri",14-RC-012750,"IESI MO Corporation",Closed,02/13/2009,04/06/2009,"Certification of Results","Saint Louis",MO,A,"Single Labor Organization",Initial,03/26/2009,34,,"LOCAL 610, MISCELLANEOUS DRIVERS, HELPERS, HEALTH CARE AND PUBLIC EMPLOYEES, AFFILIATED WITH INTERNA",7,,,,,26,33,N,,N,,"All full-time and regular part-time drivers employed by the Employer at its St. Louis, Missouri facility, EXCLUDING mechanics, office clerical and professional employees, guards, and supervisors as defined in the Act.",,,
"Region 16, Fort Worth, Texas",16-RC-010875,"Hargrove Electric Co., Inc.",Closed,02/12/2009,04/03/2009,"Certific. of Representative",Dallas,TX,A,"Single Labor Organization",Initial,03/26/2009,88,,"IBEW, LOCAL  20",49,,,,,1,50,N,25,N,"IBEW, LOCAL  20","INCLUDED:  All non-supervisory General Foremen, non-supervisory Foremen, Journeymen Electricians, Apprentice Electricians, Construction Wiremen, and Construction Electricians employer by the Employer in the current geographical jurisdiction of the International Brotherhood of Electrical Workers Local Union No. 20 during the payroll period ending February 17, 2009, or who were employed for 30 days or more within the 12 months preceding February 17, 2009, or if they have had some employment in those 12 months and have been employed for 45 days or more within the 24 month period immediately preceding the eligibility date, but excluding those employees who were terminated for cause or quit voluntarily prior to the completion of the last job which they were employed.
EXCLUDED:  All other employees including office clerical employees, guards and supervisors as defined in the Act.",,,
"Region 16, Fort Worth, Texas",16-RC-010876,"Stanley Access Technologies, LLC",Closed,02/13/2009,04/03/2009,"Certific. of Representative",Dallas,TX,A,"Single Labor Organization",Initial,03/26/2009,12,,"IBEW LOCAL 20, AFL-CIO",8,,,,,4,12,N,,N,"IBEW LOCAL 20, AFL-CIO","INCLUDED:  All employees performing installation, service, or maintenance (installers, install technicians, service technicians, and lead technicians).

EXCLUDED:  All other employees, office clerical employees, guards and supervisors as defined in the Act.",,,
"Region 15, New Orleans, Louisiana",26-RD-001161,"Waste Management ",Closed,02/11/2009,04/08/2009,"Certification of Results","Pine Bluff",AR,A,"Single Labor Organization",Initial,03/26/2009,27,,"AFSCME UNION, LOCAL 966",7,,,,,20,27,N,,N,,"Included: All full-time and regular part-time commercial collection, non-commercial collection, and                residential collection employees in the collection department.

Excluded: Office clerical and professional employees, guards and supervisors as defined in the Act.",,,
"Region 31, Los Angeles, California",31-RC-008743,"Coca-Cola Bottling Co. of Southern California",Closed,02/11/2009,04/03/2009,"Certification of Results",Bakersfield,CA,A,"Single Labor Organization",Initial,03/26/2009,38,,"TEAMSTERS LOCAL UNION NO. 87",14,,,,,21,35,N,,N,,"Included:  All full-time and regular part-time Merchandisers employed by the Employer at its facility located at 4320 Ride Street, Bakersfield, California.

Excluded:  All other employees, office clerical employees, all other employees, professional employees, sales employees, account managers, guards and supervisors as defined in the Act.",,,
"Region 31, Los Angeles, California",31-RC-008746,"First Student",Closed,02/27/2009,04/03/2009,"Certific. of Representative",Barstow,CA,A,"Single Labor Organization",Initial,03/26/2009,45,,"TEAMSTERS, CHAUFFEURS, WAREHOUSEMEN, INDUSTRIAL AND ALLIED WORKERS OF AMERICA, LOCAL 166",22,,,,,18,40,N,2,N,"TEAMSTERS, CHAUFFEURS, WAREHOUSEMEN, INDUSTRIAL AND ALLIED WORKERS OF AMERICA, LOCAL 166","Included:  All full-time and regular part-time drivers and monitors employed by the Employer at its facility located at 320 West Mountain, Barstow, California.

Excluded:  Office clerical employees, professional employees, dispatchers, mechanices, all other employees, guards and supervisors as defined in the Act.",,,
"Region 27, Denver, Colorado",27-RD-001220,"New Albertson's",Closed,01/09/2009,04/06/2009,"Certification of Results","Rock Springs",WY,A,"Single Labor Organization",Initial,03/26/2009,4,,"UFCW, LOCAL 7",,,,,,3,3,N,,N,,"Included:  All regularly employed apprentice and journey person butcher block employees employed by the Employer at its Rock Springs, WY  store located at 1323 Dewar Drive, Rock Springs, WY  

Excluded:  All other employees, guards and supervisors as defined in the Act.",,,
"Region 20, San Francisco, California",37-RC-004197,"Kauai Medical Clinic",Closed,02/12/2009,04/03/2009,"Certification of Results",Lihue,HI,A,"Single Labor Organization",Initial,03/26/2009,27,,"HAWAII NURSES ASSOCIATION",5,,,,,19,24,N,,N,,"Included:  All full-time/part-time Registered Nurses at all locations working in the Pediatric, Orthopedic, Dermatology, Oncology, Cardiology, Internal Medicine, Gastro, Family Practice, Urgent Care, OB Surgery, Neurology, Operations and Health Management Units

Excluded:  All managerial, supervisory, clerical, confidential, security guards and or watchpersons as defined by the Act.",,,
"Region 02, New York, New York",02-RC-023362,"Beth Israel Medical Center",Closed,02/13/2009,04/02/2009,"Certific. of Representative","New York",NY,A,"Single Labor Organization",Initial,03/25/2009,58,,"1199SEIU, UNITED HEALTHCARE WORKERS EAST",30,,,,,10,40,N,1,N,"1199SEIU, UNITED HEALTHCARE WORKERS EAST","INCLUDED:    All full-time, regular part time, and per-diem  nurse practitioners employed by the Employer at and out of its Petrie campus locations.

  EXCLUDED:    All employees employed at and out of the Employer's Kings Highway Division, all other  
  employees, and guards, other professional employees, and supervisors as defined in the Act.   
",,,
"Region 18, Minneapolis, Minnesota",18-RD-002673,"Sioux City Inspection and Weighing Service",Closed,02/26/2009,06/17/2009,"Certification of Results","Sioux City",IA,A,"Single Labor Organization",Initial,03/25/2009,6,,"IAMAW SIOUXLAND LODGE 1426",3,,,,,3,6,N,1,Y,,"All full-time and regular part-time production and maintenance employees at the Employer's Sioux City, Iowa facility; excluding office and clerical employees, management trainees, professional employees, and guards and supervisors as defined in the Act, as amended.",,,
"Region 19, Seattle, Washington",19-RC-015186,"Aramark Uniform and Career Apparel, LLC",Closed,02/17/2009,04/03/2009,"Certific. of Representative",Yakima,WA,A,"Single Labor Organization",Initial,03/25/2009,7,,"TEAMSTERS LOCAL 760",7,,,,,,7,N,,N,"TEAMSTERS LOCAL 760","Included:  All full-time and regular part-time drivers and warehouse employees, employed by the Employer at its facility located in Yakima, Washington.

Excluded:  All office clerical employees, managers, and guards and supervisors as defined by the Act.",,,
"Region 16, Fort Worth, Texas",16-RC-010873,"Wackenhut Corporation",Closed,01/29/2009,04/02/2009,"Certific. of Representative","La Feria",TX,A,"Single Labor Organization",Initial,03/25/2009,63,1,"UNITED GOVERNMENT SECURITY OFFICERS OF AMERICA INTERNATIONAL UNION",35,,,,,7,42,N,2,N,"UNITED GOVERNMENT SECURITY OFFICERS OF AMERICA INTERNATIONAL UNION","INCLUDED:  All full time and regular part time security officers performing guard duties as defined in Section 9(b)(3) of the National Labor Relations Act, employed by the Employer at Rio Grande Valley Transport, La Feria, Texas.

EXCLUDED:  All other employees including, and supervisors, as defined in the Act.",,,
"Region 03, Buffalo, New York",03-RD-001556,"Robinson Terrace",Closed,02/10/2009,04/01/2009,"Certific. of Representative",Stamford,NY,A,"Single Labor Organization",Initial,03/24/2009,64,,"UNITED FOOD AND COMMERCIAL WORKERS INTERNATIONAL UNION, DISTRICT UNION LOCAL ONE",44,,,,,10,54,N,,N,"UNITED FOOD AND COMMERCIAL WORKERS INTERNATIONAL UNION, DISTRICT UNION LOCAL ONE","All full-time, part-time, and regularly scheduled per diem employees performing the duties of licensed practical nurse and cerfified nurse aide; excluding supervisors, managers, confidential employees, unscheduled per diems, and temporary employees.",,,
"Region 15, New Orleans, Louisiana",15-RC-008784,"The Wackenhut Corp.",Closed,02/18/2009,04/07/2009,"Certific. of Representative","Port Gibson",MS,A,"Single Labor Organization",Initial,03/24/2009,94,,"UNITED GOVERNMENT SECURITY OFFICERS OF AMERICA",22,,,,,,22,N,,N,"UNITED GOVERNMENT SECURITY OFFICERS OF AMERICA","Including all full-time and regular part-time security officers employed by the Employer at its Grand Gulf Nuclear Power Station facility located at Port Gibson, Mississippi.
Excluding all office clerical employees, professional employees, and supervisors as defined in the Act.
",,,
